(XYZ = 346.30, 3.70, 34.61; ItemName = Wire; StoreName = WoodRUs),
(XYZ = 4665.44, 6.90, -781.19; ItemName = Lever0; StoreName = LogicShop),
(XYZ = 4659.94, 6.89, -776.89; ItemName = Button0; StoreName = LogicShop),
(XYZ = 4662.94, 6.89, -776.89; ItemName = Button0; StoreName = LogicShop),
(XYZ = 4656.94, 6.89, -776.89; ItemName = Button0; StoreName = LogicShop),
(XYZ = 4653.94, 6.90, -776.89; ItemName = Button0; StoreName = LogicShop),
(XYZ = 4636.54, 6.69, -776.19; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4636.54, 6.70, -776.79; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4636.54, 6.70, -777.39; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4634.54, 6.69, -776.19; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4634.54, 6.70, -776.79; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4634.55, 6.70, -777.39; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4632.54, 6.69, -776.19; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4632.54, 6.70, -776.79; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4632.54, 6.70, -777.39; ItemName = Wire; StoreName = LogicShop),
(XYZ = 4597.94, 6.87, -819.29; ItemName = SignalSustain; StoreName = LogicShop),
(XYZ = 4594.94, 6.87, -819.29; ItemName = SignalSustain; StoreName = LogicShop),
(XYZ = 4591.94, 6.88, -819.29; ItemName = SignalSustain; StoreName = LogicShop),
(XYZ = 4588.94, 6.89, -819.29; ItemName = SignalSustain; StoreName = LogicShop),
(XYZ = 4585.94, 6.89, -819.29; ItemName = SignalSustain; StoreName = LogicShop),
(XYZ = 4582.94, 6.90, -815.09; ItemName = SignalDelay; StoreName = LogicShop),
(XYZ = 4582.94, 6.89, -819.29; ItemName = SignalSustain; StoreName = LogicShop),
(XYZ = 4585.94, 6.90, -815.09; ItemName = SignalDelay; StoreName = LogicShop),
(XYZ = 4597.94, 6.90, -815.09; ItemName = SignalDelay; StoreName = LogicShop),
(XYZ = 4594.94, 6.90, -815.09; ItemName = SignalDelay; StoreName = LogicShop),
(XYZ = 4591.94, 6.90, -815.09; ItemName = SignalDelay; StoreName = LogicShop),
(XYZ = 4585.09, 6.90, -847.49; ItemName = ClockSwitch; StoreName = LogicShop),
(XYZ = 4570.48, 6.90, -847.49; ItemName = ClockSwitch; StoreName = LogicShop),
(XYZ = 4582.08, 6.90, -847.49; ItemName = ClockSwitch; StoreName = LogicShop),
(XYZ = 4573.28, 6.90, -847.49; ItemName = ClockSwitch; StoreName = LogicShop),
(XYZ = 4579.08, 6.90, -847.49; ItemName = ClockSwitch; StoreName = LogicShop),
(XYZ = 4576.08, 6.90, -847.49; ItemName = ClockSwitch; StoreName = LogicShop),
(XYZ = 4665.44, 6.90, -838.19; ItemName = PressurePlate; StoreName = LogicShop),
(XYZ = 4665.44, 6.90, -823.19; ItemName = PressurePlate; StoreName = LogicShop),
(XYZ = 4665.44, 6.90, -826.19; ItemName = PressurePlate; StoreName = LogicShop),
(XYZ = 4665.44, 6.90, -835.19; ItemName = PressurePlate; StoreName = LogicShop),
(XYZ = 4665.44, 6.90, -829.19; ItemName = PressurePlate; StoreName = LogicShop),
(XYZ = 4665.44, 6.90, -832.19; ItemName = PressurePlate; StoreName = LogicShop),
(XYZ = 4637.85, 6.90, -804.39; ItemName = Hatch; StoreName = LogicShop),
(XYZ = 4637.84, 6.89, -819.39; ItemName = Hatch; StoreName = LogicShop),
(XYZ = 4637.84, 6.89, -807.39; ItemName = Hatch; StoreName = LogicShop),
(XYZ = 4637.84, 6.90, -816.39; ItemName = Hatch; StoreName = LogicShop),
(XYZ = 4637.84, 6.89, -810.39; ItemName = Hatch; StoreName = LogicShop),
(XYZ = 4637.84, 6.90, -813.39; ItemName = Hatch; StoreName = LogicShop),
(XYZ = 4588.94, 6.90, -815.09; ItemName = SignalDelay; StoreName = LogicShop),

(XYZ = 5264.40, -167.80, 744.80; ItemName = Painting3; StoreName = FineArt),
(XYZ = 5263.41, -166.50, 745.70; ItemName = Painting2; StoreName = FineArt),
(XYZ = 5261.59, -166.11, 747.20; ItemName = Painting6; StoreName = FineArt),
(XYZ = 5259.60, -167.70, 749.45; ItemName = Painting8; StoreName = FineArt),
(XYZ = 5252.75, -165.78, 744.80; ItemName = Painting7; StoreName = FineArt),
(XYZ = 5250.00, -167.00, 747.20; ItemName = Painting9; StoreName = FineArt),
(XYZ = 5251.80, -165.70, 749.59; ItemName = Painting1; StoreName = FineArt)
